FECHA_CORTE;ANIO;ID_MES;MES;DEPARTAMENTO;SITIO_TURISTICO;TIPO_VISITANTE;NUMERO_VISITANTES
20260429;2019;1;ENERO;AREQUIPA;MONASTERIO DE SANTA CATALINA;EXTRANJERO;7648
20260429;2019;1;ENERO;AREQUIPA;MONASTERIO DE SANTA CATALINA;TOTAL;13656
20260429;2019;1;ENERO;AREQUIPA;RESERVA NACIONAL DE SALINAS Y AGUADA BLANCA;NACIONAL;68
20260429;2019;1;ENERO;AREQUIPA;RESERVA NACIONAL DE SALINAS Y AGUADA BLANCA;EXTRANJERO;77
20260429;2019;1;ENERO;AREQUIPA;RESERVA NACIONAL DE SALINAS Y AGUADA BLANCA;TOTAL;145
20260429;2019;1;ENERO;AREQUIPA;RESERVA PAISAJÍSTICA SUB CUENCA DEL COTAHUASI;NACIONAL;647
20260429;2019;1;ENERO;AREQUIPA;RESERVA PAISAJÍSTICA SUB CUENCA DEL COTAHUASI;EXTRANJERO;53
20260429;2019;1;ENERO;AREQUIPA;RESERVA PAISAJÍSTICA SUB CUENCA DEL COTAHUASI;TOTAL;700
20260429;2019;1;ENERO;AREQUIPA;SANTUARIO NACIONAL LAGUNAS DE MEJÍA;NACIONAL;546
20260429;2019;1;ENERO;AREQUIPA;SANTUARIO NACIONAL LAGUNAS DE MEJÍA;EXTRANJERO;64
20260429;2019;1;ENERO;AREQUIPA;SANTUARIO NACIONAL LAGUNAS DE MEJÍA;TOTAL;610
20260429;2019;1;ENERO;AREQUIPA;VALLE DEL COLCA;NACIONAL;9876
20260429;2019;1;ENERO;AREQUIPA;VALLE DEL COLCA;EXTRANJERO;8313
20260429;2019;1;ENERO;AREQUIPA;VALLE DEL COLCA;TOTAL;18189
20260429;2019;1;ENERO;AYACUCHO;CENTRO ARQUEOLÓGICO INTIHUATANA;NACIONAL;1423
20260429;2019;1;ENERO;AYACUCHO;CENTRO ARQUEOLÓGICO INTIHUATANA;EXTRANJERO;0
20260429;2019;1;ENERO;AYACUCHO;CENTRO ARQUEOLÓGICO INTIHUATANA;TOTAL;1423
20260429;2019;1;ENERO;AYACUCHO;COMPLEJO ARQUEOLÓGICO DE WARI;NACIONAL;5477
20260429;2019;1;ENERO;AYACUCHO;COMPLEJO ARQUEOLÓGICO DE WARI;EXTRANJERO;194
20260429;2019;1;ENERO;AYACUCHO;COMPLEJO ARQUEOLÓGICO DE WARI;TOTAL;5671
20260429;2019;1;ENERO;AYACUCHO;MUSEO ARQUEÓLOGICO HIPÓLITO UNANUE;NACIONAL;1123
20260429;2019;1;ENERO;AYACUCHO;MUSEO ARQUEÓLOGICO HIPÓLITO UNANUE;EXTRANJERO;10
20260429;2019;1;ENERO;AYACUCHO;MUSEO ARQUEÓLOGICO HIPÓLITO UNANUE;TOTAL;1133
20260429;2019;1;ENERO;AYACUCHO;MUSEO DE SITIO DE QUINUA;NACIONAL;682
20260429;2019;1;ENERO;AYACUCHO;MUSEO DE SITIO DE QUINUA;EXTRANJERO;37
20260429;2019;1;ENERO;AYACUCHO;MUSEO DE SITIO DE QUINUA;TOTAL;719
20260429;2019;1;ENERO;AYACUCHO;RESERVA NACIONAL PAMPA GALERAS BARBARA DE A´CHILLE;NACIONAL;170
